,Unnamed: 0,Unnamed: 0.1,Subject,Target,target_filename,Foil,foil_filename,Distractor,distractor_filename,informative_target,informative_foil,notes,presentation_index,Ambig_trial_ID,List,condition,Control_trial_ID,Trial_ID
0,0,0,P01,green_clock,clock1,red_clock,clock2,cake,cake,0,0,,1,A3,A,ambiguous,,A3
1,1,1,P01,pink_cup,cup2,blue_cup,cup1,dress,dress,0,0,,2,A4,A,ambiguous,,A4
2,2,2,P01,blue_fish,fish1,green_fish,fish2,playdoh,playdoh,1,1,,3,A1,A,ambiguous,,A1
3,3,3,P01,yellow_flower,flower2,purple_flower,flower1,cane,cane,0,0,,4,A2,A,ambiguous,,A2
4,4,4,P01,brown_shoe,shoe1,pink_shoe,shoe2,paintbrush,paintbrush,0,1,peppa's shoe,5,A5,A,ambiguous,,A5
5,5,5,P01,gold_spoon,spoon1,silver_spoon,spoon2,comb,comb,0,0,,6,A6,A,ambiguous,,A6
6,6,6,P01,orange_toothbrush,toothbrush2,blue_toothbrush,toothbrush1,door,door,0,0,,7,A7,A,ambiguous,,A7
7,7,7,P01,green_tree,flower1,red_tree,tree2,pencil,pencil,1,0,,8,A2,A,ambiguous,,A2
8,8,8,P02,pink_shoe,shoe2,brown_shoe,shoe1,paintbrush,paintbrush,0,0,,9,B5,B,ambiguous,,B5
9,9,9,P02,yellow_flower,flower2,purple_flower,flower1,cane,cane,0,0,,10,B2,B,ambiguous,,B2
10,10,10,P02,pink_cup,cup2,blue_cup,cup1,dress,dress,0,0,,11,B4,B,ambiguous,,B4
11,11,12,P02,red_clock,clock2,green_clock,clock1,cake,cake,0,0,,13,B3,B,ambiguous,,B3
12,12,13,P02,orange_toothbrush,toothbrush2,blue_toothbrush,toothbrush1,door,door,0,0,,14,B7,B,ambiguous,,B7
13,13,14,P02,silver_spoon,spoon2,gold_spoon,spoon1,comb,comb,0,0,,15,B6,B,ambiguous,,B6
14,14,15,P02,green_fish,fish2,blue_fish,fish1,chair,chair,0,0,,16,B1,B,ambiguous,,B1
15,15,16,P03,blue_car,car1,red_car,car2,dolphin,dolphin,0,0,,17,C5,C,ambiguous,,C5
16,16,17,P03,black_cat,cat1,ginger_cat,cat2,brush,brush,0,0,,18,C6,C,ambiguous,,C6
17,17,18,P03,blue_chair,chair1,yellow_chair,chair2,kangaroo,kangaroo,0,0,,19,C7,C,ambiguous,,C7
18,18,19,P03,green_bus,bus1,red_bus,bus2,torch,torch,0,0,,20,C4,C,ambiguous,,C4
19,19,20,P03,black_dog,dog1,white_dog,dog2,rainbow,rainbow,0,0,,21,C8,C,ambiguous,,C8
20,20,21,P03,blue_bird,bird1,red_bird,bird2,playground,playground,0,0,,22,C2,C,ambiguous,,C2
21,21,22,P03,green_book,book1,red_book,book2,apple,apple,0,0,,23,C3,C,ambiguous,,C3
22,22,23,P03,red_bike,bike1,yellow_bike,bike2,candle,candle,0,0,,24,C1,C,ambiguous,,C1
23,23,24,P04,yellow_chair,chair2,blue_chair,chair1,kangaroo,kangaroo,1,1,yellow > blue,25,D7,D,ambiguous,,D7
24,24,25,P04,white_dog,dog2,black_dog,dog1,rainbow,rainbow,0,1,puppy > dog,26,D8,D,ambiguous,,D8
25,25,26,P04,red_book,book2,green_book,book1,apple,apple,1,1,red > green,27,D3,D,ambiguous,,D3
26,26,27,P04,ginger_cat,cat2,black_cat,cat1,brush,brush,0,0,,28,D6,D,ambiguous,,D6
27,27,28,P04,red_bus,bus2,green_bus,bus1,torch,torch,1,1,red > green,29,D4,D,ambiguous,,D4
28,28,29,P04,red_bird,bird2,blue_bird,bird1,playground,playground,0,1,chicken > duck,30,D2,D,ambiguous,,D2
29,29,30,P04,red_car,car2,blue_car,car1,dolphin,dolphin,1,1,red > blue,31,D5,D,ambiguous,,D5
30,30,31,P04,yellow_bike,bike2,red_bike,bike1,candle,candle,1,1,yellow > red,32,D1,D,ambiguous,,D1
31,31,32,P05,gold_spoon,spoon1,silver_spoon,spoon2,comb,comb,0,0,,33,A6,A,ambiguous,,A6
32,32,33,P05,green_clock,clock1,red_clock,clock2,cake,cake,0,0,,34,A3,A,ambiguous,,A3
33,33,34,P05,blue_fish,fish1,green_fish,fish2,playdoh,playdoh,0,0,,35,A1,A,ambiguous,,A1
34,34,35,P05,blue_cup,cup1,pink_cup,cup2,dress,dress,0,0,,36,A4,A,ambiguous,,A4
35,35,36,P05,green_tree,flower1,red_tree,tree2,pencil,pencil,0,0,,37,A2,A,ambiguous,,A2
36,36,37,P05,yellow_flower,flower2,purple_flower,flower1,cane,cane,0,0,,38,A2,A,ambiguous,,A2
37,37,38,P05,brown_shoe,shoe1,pink_shoe,shoe2,paintbrush,paintbrush,0,0,,39,A5,A,ambiguous,,A5
38,38,39,P05,blue_toothbrush,toothbrush1,orange_toothbrush,toothbrush2,door,door,0,0,,40,A7,A,ambiguous,,A7
39,39,40,P06,orange_toothbrush,toothbrush2,blue_toothbrush,toothbrush1,door,door,1,1,,41,B7,B,ambiguous,,B7
40,40,41,P06,yellow_flower,flower2,purple_flower,flower1,cane,cane,1,1,,42,B2,B,ambiguous,,B2
41,41,42,P06,red_tree,tree2,green_tree,flower1,pencil,pencil,0,0,,43,B8,B,ambiguous,,B8
42,42,43,P06,pink_shoe,shoe2,brown_shoe,shoe1,paintbrush,paintbrush,1,1,,44,B5,B,ambiguous,,B5
43,43,44,P06,red_clock,clock2,green_clock,clock1,cake,cake,1,1,,45,B3,B,ambiguous,,B3
44,44,45,P06,pink_cup,cup2,blue_cup,cup1,dress,dress,1,1,,46,B4,B,ambiguous,,B4
45,45,46,P06,green_fish,fish2,blue_fish,fish1,playdoh,playdoh,1,1,,47,B1,B,ambiguous,,B1
46,46,47,P06,silver_spoon,spoon2,gold_fish,,comb,comb,1,1,,48,B6,B,ambiguous,,B6
47,47,48,P07,blue_bird,bird1,red_bird,bird2,playground,playground,0,0,,49,C2,C,ambiguous,,C2
48,48,49,P07,red_bike,bike1,yellow_bike,bike2,candle,candle,0,0,,50,C1,C,ambiguous,,C1
49,49,50,P07,green_book,book1,red_book,book2,apple,apple,0,0,,51,C3,C,ambiguous,,C3
50,50,51,P07,blue_car,car1,red_car,car2,dolphin,dolphin,0,0,,52,C5,C,ambiguous,,C5
51,51,52,P07,black_dog,dog1,white_dog,dog2,rainbow,rainbow,0,0,,53,C8,C,ambiguous,,C8
52,52,53,P07,blue_chair,chair1,yellow_chair,chair2,kangaroo,kangaroo,0,0,,54,C7,C,ambiguous,,C7
53,53,54,P07,green_bus,bus1,red_bus,bus2,torch,torch,0,0,,55,C4,C,ambiguous,,C4
54,54,55,P07,black_cat,cat1,ginger_cat,cat2,brush,brush,0,0,,56,C6,C,ambiguous,,C6
55,55,56,P08,green_bus,bus1,red_bus,bus2,torch,torch,0,0,,57,D4,D,ambiguous,,D4
56,56,57,P08,red_book,book2,green_book,book1,apple,apple,0,0,,58,D3,D,ambiguous,,D3
57,57,58,P08,red_car,car2,blue_car,car1,dolphin,dolphin,0,0,,59,D5,D,ambiguous,,D5
58,58,59,P08,ginger_cat,cat2,black_cat,cat1,comb,comb,0,0,,60,D6,D,ambiguous,,D6
